run,time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,etubesm(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
ctrl,2011.75,293,60.0000,186.0815,100.1697,5.2721,94.5055,12.5751,0.0000,0.0000,2.7473,0.1591,0.0000,0.0000,2.7473,0.1591,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,17.7657,1.0287,0.0000,8372405012537540608.0000,71.0630,4.1150,0.0000,0.0000,0.0000,0.0000,0.0164,0.0000,0.0000,0.0000,0.8403,0.0000,32.5794,0.2119,0.0000,0.0000,0.6331,0.0255,0.0000,0.0000,94.5055,12.5751,0.0000,0.0000,2.7473,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3048,0.1513,0.0000,0.0000,62.7918,2.8747,0.0328,-0.0061,0.9998,0.0461,0.0000,0.0000,18.9953,0.8765,0.0824,0.7360
ctrl,2012.67,250,3.1000,545.0637,202.9590,10.6821,332.1562,10.7547,0.0000,0.0000,6.3872,0.0871,0.0000,0.0000,6.3872,0.0871,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,41.3041,0.5635,0.0000,8372405012537540608.0000,165.2163,2.2542,0.0000,0.0000,0.0000,15.7000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,7.7711,0.0701,0.0000,0.0000,0.6099,0.0269,0.0000,0.0000,332.1562,10.7547,0.0000,0.0000,6.3872,0.0000,0.0000,0.0000,0.0000,0.0000,0.2705,0.1779,0.0000,0.0000,0.0000,0.0000,7.3375,0.1631,0.0000,0.0000,139.4121,3.0980,-0.0544,-0.0418,1.7870,0.0397,0.0000,0.0000,33.9533,0.7545,3.8507,15.8903
ctrl,2013.75,293,60.0000,383.8994,108.0853,5.6887,193.7872,22.0486,0.0000,0.0000,5.7034,0.2818,0.0000,0.0000,5.7034,0.2818,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,36.8818,1.8223,0.0000,8372405012537540608.0000,147.5270,7.2892,0.0000,0.0000,0.0000,0.0000,0.0469,0.0000,0.0000,0.0000,0.8403,0.0000,34.8530,0.4574,0.0000,0.0000,1.7840,0.0762,0.0000,0.0000,193.7872,22.0486,0.0000,0.0000,5.7034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8879,0.1587,0.0000,0.0000,73.8704,3.0159,-0.0086,-0.0041,0.9395,0.0387,0.0000,0.0000,17.8507,0.7345,0.2489,2.0982
ctrl,2014.67,250,3.1000,717.2722,254.5373,13.3967,433.5932,12.4187,0.0000,0.0000,8.5104,0.1025,0.0000,0.0000,8.5104,0.1025,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,55.0337,0.6631,0.0000,8372405012537540608.0000,220.1349,2.6523,0.0000,0.0000,0.0000,15.7000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,1.4467,0.0000,0.0000,0.0000,0.6512,0.0297,0.0000,0.0000,433.5932,12.4187,0.0000,0.0000,8.5104,0.0000,0.0000,0.0000,0.0000,0.0000,0.2873,0.1890,0.0000,0.0000,0.0000,0.0000,9.4481,0.2099,0.0000,0.0000,179.5136,3.9873,0.0003,0.0009,2.0480,0.0453,0.0000,0.0000,38.9127,0.8615,8.8738,27.6229
ctrl,2015.75,293,60.0000,533.5356,176.1586,9.2715,266.7678,29.8864,0.0000,0.0000,8.0030,0.3881,0.0000,0.0000,8.0030,0.3881,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,51.7530,2.5096,0.0000,8372405012537540608.0000,207.0119,10.0383,0.0000,0.0000,0.0000,0.0000,0.0710,0.0000,0.0000,0.0000,0.8403,0.0000,28.3306,0.4206,0.0000,0.0000,1.2768,0.0534,0.0000,0.0000,266.7678,29.8864,0.0000,0.0000,8.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6056,0.2751,0.0000,0.0000,125.5062,5.2275,-0.0070,-0.0168,1.3705,0.0582,0.0000,0.0000,26.0389,1.1053,0.3829,3.1659
ctrl,2016.67,250,3.1000,294.2182,113.4086,5.9689,176.5863,7.6637,0.0000,0.0000,3.5290,0.0643,0.0000,0.0000,3.5290,0.0643,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,22.8206,0.4160,0.0000,8372405012537540608.0000,91.2824,1.6640,0.0000,0.0000,0.0000,15.7000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,22.5671,0.2081,0.0000,0.0000,0.4941,0.0220,0.0000,0.0000,176.5863,7.6637,0.0000,0.0000,3.5290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0164,0.0108,0.0000,0.0000,0.0000,0.0000,3.8873,0.0864,0.0000,0.0000,73.8591,1.6413,-0.0453,-0.0518,1.0512,0.0234,0.0000,0.0000,19.9721,0.4438,0.0680,0.1596
ctrl,2017.75,293,60.0000,414.4475,108.1767,5.6935,207.2238,24.3149,0.0000,0.0000,6.2167,0.3157,0.0000,0.0000,6.2167,0.3157,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,40.2014,2.0417,0.0000,8372405012537540608.0000,160.8056,8.1669,0.0000,0.0000,0.0000,0.0000,0.0242,0.0000,0.0000,0.0000,0.8403,0.0000,18.8962,0.2976,0.0000,0.0000,0.7772,0.0388,0.0000,0.0000,207.2238,24.3149,0.0000,0.0000,6.2167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1235,0.1691,0.0000,0.0000,78.3472,3.2122,0.0842,0.0046,0.8239,0.0340,0.0000,0.0000,15.6535,0.6466,0.1225,1.0869
ctrl,2018.67,250,3.1000,451.5116,149.9294,7.8910,271.3885,9.6112,0.0000,0.0000,5.4037,0.0804,0.0000,0.0000,5.4037,0.0804,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,34.9439,0.5200,0.0000,8372405012537540608.0000,139.7755,2.0799,0.0000,0.0000,0.0000,15.7000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,17.1405,0.2762,0.0000,0.0000,0.9149,0.0454,0.0000,0.0000,271.3885,9.6112,0.0000,0.0000,5.4037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0300,0.0198,0.0000,0.0000,0.0000,0.0000,5.2722,0.1172,0.0000,0.0000,100.1712,2.2260,-0.0344,-0.0425,1.3749,0.0306,0.0000,0.0000,26.1225,0.5805,0.1111,0.2616
ctrl,2019.75,293,60.0000,510.2520,146.0360,7.6861,256.3027,29.4380,0.0000,0.0000,7.6185,0.3793,0.0000,0.0000,7.6185,0.3793,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,49.2662,2.4531,0.0000,8372405012537540608.0000,197.0646,9.8124,0.0000,0.0000,0.0000,0.0000,0.0913,0.0000,0.0000,0.0000,0.8403,0.0000,56.4427,0.5081,0.0000,0.0000,1.5372,0.0764,0.0000,0.0000,256.3027,29.4380,0.0000,0.0000,7.6185,0.0000,0.0000,0.0000,0.0000,0.0000,0.1720,0.0000,0.0000,0.0000,0.0000,0.0000,5.4612,0.2230,0.0000,0.0000,103.7624,4.2369,-0.0090,-0.0017,1.1646,0.0479,0.0000,0.0000,22.1275,0.9093,0.4611,4.1014
ctrl,2020.67,250,3.1000,827.5729,373.0791,19.6357,501.1288,13.8115,0.0000,0.0000,9.7933,0.1136,0.0000,0.0000,9.7933,0.1136,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,63.3301,0.7345,0.0000,8372405012537540608.0000,253.3206,2.9381,0.0000,0.0000,0.0000,15.7000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,36.8564,0.4686,0.0000,0.0000,0.7258,0.0348,0.0000,0.0000,501.1288,13.8115,0.0000,0.0000,9.7933,0.0000,0.0000,0.0000,0.0000,0.0000,0.2629,0.1729,0.0000,0.0000,0.0000,0.0000,13.9510,0.3360,0.0000,0.0000,265.0681,6.3848,0.0114,0.0071,2.9706,0.0670,0.0000,0.0000,56.4423,1.2731,8.9600,20.9066
