run,time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,etubesm(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
ag1,1885.75,289,3.1000,303.0427,86.7954,4.5682,106.0845,3.2857,0.0000,0.0000,104.3878,1.6018,0.0000,0.0000,104.3878,1.6018,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,18.5141,0.2841,0.0000,91271233536.0000,74.0563,1.1364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,36.9091,3.8807,0.0000,0.0000,0.8061,0.0494,0.0000,0.0000,106.0845,3.2857,0.0000,0.0000,104.3878,0.0000,0.0000,0.0000,0.0000,0.0000,0.1728,0.1137,0.0000,0.0000,0.0000,0.0000,2.8848,0.0641,-5669545759460552118294179642089668608.0000,0.0000,54.8111,1.2180,0.0058,-0.0065,0.8701,0.0193,0.0000,0.0000,16.5328,0.3674,0.2181,1.6045
ag1,1886.50,210,36.1000,239.5958,74.7376,3.9336,104.9737,3.4794,0.0000,0.0000,125.1986,1.8933,0.0000,0.0000,125.1986,1.8933,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,1.8847,0.0285,0.0000,91271233536.0000,7.5388,0.1140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,31.5356,2.3450,0.0000,0.0000,0.4115,0.0235,0.0000,0.0000,104.9737,3.4794,0.0000,0.0000,125.1986,0.0000,0.0000,0.0000,0.0000,0.0000,0.2079,0.1367,0.0000,0.0000,0.0000,0.0000,9.1997,0.2042,-6366761522305850029834167958634496.0000,0.0000,56.5123,1.2543,0.0194,-0.0137,1.6102,0.0357,0.0000,0.0000,9.8914,0.2195,1.0383,9.1201
ag1,1889.75,289,3.1000,141.1876,55.7078,2.9320,45.3493,1.9349,0.0000,0.0000,50.6106,1.0273,0.0000,0.0000,50.6106,1.0273,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,8.9762,0.1822,0.0000,91271233536.0000,35.9049,0.7288,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,13.1461,0.8801,0.0000,0.0000,0.4872,0.0253,0.0000,0.0000,45.3493,1.9349,0.0000,0.0000,50.6106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0086,0.0057,0.0000,0.0000,0.0000,0.0000,1.8816,0.0418,-5669545759460552118294179642089668608.0000,0.0000,35.7496,0.7944,-0.0483,-0.0525,0.5327,0.0118,0.0000,0.0000,10.1205,0.2249,0.0073,0.0144
ag1,1890.75,289,3.1000,51.6350,38.3463,2.0182,17.1740,0.8949,0.0000,0.0000,18.2643,0.4598,0.0000,0.0000,18.2643,0.4598,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,3.2393,0.0816,0.0000,91271233536.0000,12.9573,0.3262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,21.9574,1.7565,0.0000,0.0000,0.2062,0.0110,0.0000,0.0000,17.1740,0.8949,0.0000,0.0000,18.2643,0.0000,0.0000,0.0000,0.0000,0.0000,0.1102,0.0725,0.0000,0.0000,0.0000,0.0000,1.0572,0.0235,-5669545759460552118294179642089668608.0000,0.0000,20.0859,0.4464,0.0159,-0.0073,0.4774,0.0106,0.0000,0.0000,9.0711,0.2016,0.0930,0.3067
ag1,1891.50,210,36.1000,39.4569,26.4427,1.3917,16.9868,0.9684,0.0000,0.0000,20.8972,0.5395,0.0000,0.0000,20.8972,0.5395,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,0.3146,0.0081,0.0000,91271233536.0000,1.2583,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,6.3103,0.0003,0.0000,0.0000,0.2240,0.0126,0.0000,0.0000,16.9868,0.9684,0.0000,0.0000,20.8972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0486,0.0320,0.0000,0.0000,0.0000,0.0000,2.9125,0.0647,-6366761522305850029834167958634496.0000,0.0000,17.8911,0.3975,-0.0230,-0.0317,0.8396,0.0187,0.0000,0.0000,5.1578,0.1146,0.0492,0.1188
ag1,1894.75,289,3.1000,38.3179,14.0211,0.7380,13.3263,0.7119,0.0000,0.0000,13.1289,0.3473,0.0000,0.0000,13.1289,0.3473,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,2.3285,0.0616,0.0000,91271233536.0000,9.3141,0.2464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,3.0471,0.0001,0.0000,0.0000,0.9628,0.0543,0.0000,0.0000,13.3263,0.7119,0.0000,0.0000,13.1289,0.0000,0.0000,0.0000,0.0000,0.0000,0.0260,0.0171,0.0000,0.0000,0.0000,0.0000,0.4501,0.0100,-5669545759460552118294179642089668608.0000,0.0000,8.5511,0.1900,-0.0654,-0.0548,0.1448,0.0032,0.0000,0.0000,2.7514,0.0611,0.0240,0.0485
ag1,1895.75,289,3.1000,59.7170,19.2067,1.0109,20.9045,1.0502,0.0000,0.0000,20.5706,0.5120,0.0000,0.0000,20.5706,0.5120,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,3.6484,0.0908,0.0000,91271233536.0000,14.5935,0.3632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,0.1149,0.0000,0.0000,0.0000,1.0397,0.0617,0.0000,0.0000,20.9045,1.0502,0.0000,0.0000,20.5706,0.0000,0.0000,0.0000,0.0000,0.0000,0.0313,0.0206,0.0000,0.0000,0.0000,0.0000,0.6361,0.0141,-5669545759460552118294179642089668608.0000,0.0000,12.0863,0.2686,-0.0650,-0.0289,0.1893,0.0042,0.0000,0.0000,3.5959,0.0799,0.0523,0.1108
ag1,1896.50,210,36.1000,141.5382,45.3409,2.3864,61.4687,2.4743,0.0000,0.0000,74.4646,1.3624,0.0000,0.0000,74.4646,1.3624,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,1.1210,0.0205,0.0000,91271233536.0000,4.4839,0.0820,0.0000,0.0000,0.0000,0.0000,0.6988,0.9314,0.0000,0.0000,0.8403,0.0000,0.6415,0.0000,0.0000,0.0000,0.0880,0.0054,0.0000,0.0000,61.4687,2.4743,0.0000,0.0000,74.4646,0.0000,0.0000,0.0000,0.0000,0.0000,0.1733,0.1140,0.0000,0.0000,0.0000,0.0000,5.3310,0.1185,-6366761522305850029834167958634496.0000,0.0000,32.7479,0.7277,0.0022,0.0490,1.1943,0.0265,0.0000,0.0000,7.3362,0.1630,2.0206,0.0000
ag1,1899.75,289,3.1000,37.2966,29.1196,1.5326,12.2271,0.6761,0.0000,0.0000,12.7880,0.3435,0.0000,0.0000,12.7880,0.3435,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,2.2681,0.0609,0.0000,91271233536.0000,9.0722,0.2437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,14.1547,0.6193,0.0000,0.0000,0.1566,0.0085,0.0000,0.0000,12.2271,0.6761,0.0000,0.0000,12.7880,0.0000,0.0000,0.0000,0.0000,0.0000,0.3515,0.2312,0.0000,0.0000,0.0000,0.0000,0.7424,0.0165,-5669545759460552118294179642089668608.0000,0.0000,14.1057,0.3135,-0.0248,-0.0353,0.3903,0.0087,0.0000,0.0000,7.4156,0.1648,0.3869,1.3225
ag1,1900.75,289,3.1000,152.4759,51.5171,2.7114,52.5237,2.1679,0.0000,0.0000,52.9747,1.0747,0.0000,0.0000,52.9747,1.0747,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,9.3955,0.1906,0.0000,91271233536.0000,37.5820,0.7624,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,3.6848,0.3103,0.0000,0.0000,0.4672,0.0280,0.0000,0.0000,52.5237,2.1679,0.0000,0.0000,52.9747,0.0000,0.0000,0.0000,0.0000,0.0000,0.0654,0.0430,0.0000,0.0000,0.0000,0.0000,1.6489,0.0366,-5669545759460552118294179642089668608.0000,0.0000,31.3287,0.6962,0.0018,-0.0067,0.5445,0.0121,0.0000,0.0000,10.3452,0.2299,0.1253,0.3272
